iter	Logloss
0	0.6768876273
1	0.6621506512
2	0.6495890886
3	0.6364254631
4	0.6244804058
5	0.6132635841
6	0.6037233455
7	0.5953949351
8	0.5877180688
9	0.5792261445
10	0.5721266842
11	0.5646225415
12	0.558381341
13	0.5520617324
14	0.5459890274
15	0.5409706649
16	0.5356168184
17	0.5311415768
18	0.5264190967
19	0.5220279981
20	0.5180833186
21	0.5148348919
22	0.5119978037
23	0.5087344323
24	0.506162667
25	0.5036561649
26	0.5020755302
27	0.5000020513
28	0.4976987067
29	0.4950826093
30	0.4931753653
31	0.4907375592
32	0.4887673544
33	0.4866968477
34	0.4852096495
35	0.4834405091
36	0.4820469149
37	0.4802894121
38	0.4785453053
39	0.4771370175
40	0.4755110459
41	0.4740829991
42	0.4727216388
43	0.4716738268
44	0.4706617232
45	0.469561081
46	0.4682182657
47	0.4669832457
48	0.4659469039
49	0.4648639276
50	0.4641424736
51	0.4630857031
52	0.4621330021
53	0.46146082
54	0.4604854715
55	0.4599743334
56	0.4591089989
57	0.4579385723
58	0.4572104204
59	0.4565680442
60	0.4559897173
61	0.4553788634
62	0.4547039184
63	0.4540242011
64	0.453675656
65	0.4529248985
66	0.4519002781
67	0.4512280541
68	0.4505140516
69	0.4500490877
70	0.4497469678
71	0.4492818783
72	0.4486973976
73	0.4481209544
74	0.4475145798
75	0.4470812637
76	0.4465833541
77	0.4462518888
78	0.4454534083
79	0.444832968
80	0.4442603761
81	0.4439719453
82	0.4435979898
83	0.4428977181
84	0.4423494064
85	0.4417758936
86	0.4412347822
87	0.4408547149
88	0.4404684938
89	0.4399807986
90	0.4394407338
91	0.438884552
92	0.4387422203
93	0.4383937171
94	0.4380192175
95	0.4376661931
96	0.4373815717
97	0.4367941607
98	0.4361367559
99	0.4358044115
100	0.4355701504
101	0.4350333508
102	0.4346544556
103	0.4342372983
104	0.4340453599
105	0.4336729952
106	0.4334273894
107	0.4331001522
108	0.4323897918
109	0.4321716476
110	0.4318937241
111	0.4317153072
112	0.4314315649
113	0.4308161899
114	0.430599176
115	0.4303985303
116	0.4295753092
117	0.429128346
118	0.4287066676
119	0.42845248
120	0.4281341595
121	0.4280439882
122	0.4278370212
123	0.4275730798
124	0.4271614483
125	0.4268783339
126	0.4266736694
127	0.4263149099
128	0.4258733888
129	0.4252513158
130	0.424514917
131	0.4242962705
132	0.4242245605
133	0.4239589864
134	0.4235530063
135	0.4230403612
136	0.4227296178
137	0.4225451309
138	0.4222622258
139	0.4218600133
140	0.4216566884
141	0.4211781192
142	0.4207372678
143	0.4205150212
144	0.4203304505
145	0.4201401448
146	0.4195076062
147	0.4191504375
148	0.4186751754
149	0.4185171036
150	0.4183213976
151	0.4178779926
152	0.4176948872
153	0.4173239039
154	0.4171198255
155	0.4169940713
156	0.4166163482
157	0.4163478438
158	0.4161871765
159	0.4159807119
160	0.4157687215
161	0.4154033478
162	0.415055933
163	0.4147359798
164	0.4145437065
165	0.4140499413
166	0.4138356903
167	0.4136262117
168	0.413496941
169	0.4133489999
170	0.4130384657
171	0.4126789527
172	0.4125450773
173	0.4123068811
174	0.4122252497
175	0.411972025
176	0.4118244187
177	0.4114995676
178	0.4112978335
179	0.4109480744
180	0.4106488431
181	0.4102936419
182	0.410162027
183	0.4098394365
184	0.4094293958
185	0.4092431925
186	0.4089505336
187	0.4086764614
188	0.408341689
189	0.4082185303
190	0.4081063395
191	0.4078608593
192	0.4077024107
193	0.4074244035
194	0.4070813842
195	0.4068952647
196	0.4063916618
197	0.4060355816
198	0.4059140136
199	0.4056196801
200	0.4052220725
201	0.405046586
202	0.4047098461
203	0.4044444394
204	0.4040107047
205	0.4037850253
206	0.4036061898
207	0.4034464016
208	0.4033247499
209	0.402956404
210	0.4026076077
211	0.4023815935
212	0.4022071954
213	0.4015469021
214	0.4008720827
215	0.4007511427
216	0.4005939499
217	0.4005636835
218	0.4002419303
219	0.4000137811
220	0.3996932837
221	0.3994383426
222	0.3992442274
223	0.3988325122
224	0.3987372337
225	0.3982319982
226	0.3981435433
227	0.397880774
228	0.397661039
229	0.3975851846
230	0.3971517848
231	0.3968098958
232	0.3964519736
233	0.3961506492
234	0.396128211
235	0.3954832394
236	0.3951167772
237	0.3947837631
238	0.3944605028
239	0.3941733278
240	0.39400186
241	0.3939147447
242	0.3936856326
243	0.3934924802
244	0.3930131575
245	0.3925489052
246	0.3922303753
247	0.3921343852
248	0.3920507863
249	0.3918774347
250	0.3917530201
251	0.3914152755
252	0.3910360873
253	0.3908700197
254	0.3908287017
255	0.3906748161
256	0.3904793612
257	0.3903408809
258	0.3901136108
259	0.3899263191
260	0.3897699636
261	0.3896579821
262	0.3894181951
263	0.3890320578
264	0.3889272347
265	0.3886732983
266	0.3884371952
267	0.3882797932
268	0.3879531002
269	0.3877528312
270	0.3874812708
271	0.3872597358
272	0.3868653516
273	0.3866678455
274	0.3863074116
275	0.3862122168
276	0.3855094334
277	0.3852091136
278	0.3851085605
279	0.3849401487
280	0.3846485782
281	0.3845282242
282	0.3842307092
283	0.3839385107
284	0.3837608473
285	0.3836337536
286	0.3834590624
287	0.3832657425
288	0.3830684458
289	0.3829705718
290	0.3826697916
291	0.3824595175
292	0.3822350522
293	0.3819767621
294	0.3816812984
295	0.3814664613
296	0.3812347119
297	0.3810589742
298	0.3808902693
299	0.3807738086
300	0.380709257
301	0.3804579161
302	0.3802391439
303	0.3798720539
304	0.3796119638
305	0.3792370455
306	0.3790968907
307	0.3786187401
308	0.3785753289
309	0.3782436544
310	0.3779033143
311	0.3776863423
312	0.3774157028
313	0.377233016
314	0.3770907262
315	0.3768474647
316	0.3766124082
317	0.3765697924
318	0.3761798456
319	0.3759292582
320	0.3756593723
321	0.3753510568
322	0.3751648535
323	0.3747479055
324	0.3745750145
325	0.3744506836
326	0.3741984636
327	0.3740758909
328	0.3738122425
329	0.3734693488
330	0.3731439536
331	0.372933512
332	0.3726300107
333	0.3723280584
334	0.3722146954
335	0.3720572515
336	0.3719672058
337	0.3715342246
338	0.3712333606
339	0.3710942105
340	0.3707902068
341	0.3705815654
342	0.370177218
343	0.3699616274
344	0.3697895317
345	0.3693960684
346	0.3693332332
347	0.3690785433
348	0.3687308773
349	0.3683502239
350	0.3681005575
351	0.3679696542
352	0.3677119084
353	0.367423017
354	0.3671903466
355	0.3669646673
356	0.3667829014
357	0.3664524827
358	0.3661234873
359	0.3659182367
360	0.3657337497
361	0.3654813623
362	0.3651888289
363	0.3649425533
364	0.364753001
365	0.3645838357
366	0.3645251029
367	0.3644626026
368	0.3643240804
369	0.3641669296
370	0.3641410587
371	0.3640487524
372	0.3638155797
373	0.3636861417
374	0.3635652016
375	0.3633500297
376	0.3632614492
377	0.363060929
378	0.3627964433
379	0.3625134127
380	0.3620072144
381	0.3618799113
382	0.361566991
383	0.3614813408
384	0.3610793795
385	0.3609333221
386	0.3606667434
387	0.3605844422
388	0.3604336544
389	0.3601338788
390	0.3598197864
391	0.359509629
392	0.3593563294
393	0.3593101554
394	0.3590343669
395	0.3588454844
396	0.3585270383
397	0.3584629891
398	0.35831442
399	0.3581787444
400	0.3580163608
401	0.3578291528
402	0.3575596018
403	0.3572312762
404	0.3570470404
405	0.356869712
406	0.3567441671
407	0.3567239058
408	0.3567081237
409	0.3565320511
410	0.3564174322
411	0.3562503182
412	0.3559401608
413	0.3556608977
414	0.3555300363
415	0.3553314418
416	0.3551580484
417	0.3549806362
418	0.3547382957
419	0.3544332036
420	0.3540512943
421	0.3539440851
422	0.3537887343
423	0.3537281178
424	0.3534189651
